domanID,siteID,nmdLctn,gdtcDtm,year,h5_files
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,2019,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,2019,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,2019,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D03,FLNT,FLNT.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D03_JERC_DP3_744000_3452000_reflectance.h5
D04,GUIL,GUIL.AOS.S2,WGS84,S2,2018,NEON_D04_GUIL_DP3_732000_2010000_reflectance.h5
D06,KING,KING.AOS.S2,WGS84,S2,2017,NEON_D06_KONZ_DP3_707000_4331000_reflectance.h5
D06,KING,KING.AOS.reach,WGS84,reach,2017,NEON_D06_KONZ_DP3_707000_4331000_reflectance.h5
D06,KING,KING.AOS.S2,WGS84,S2,2018,NEON_D06_KONZ_DP3_707000_4331000_reflectance.h5
D06,KING,KING.AOS.reach,WGS84,reach,2018,NEON_D06_KONZ_DP3_707000_4331000_reflectance.h5
D06,KING,KING.AOS.S2,WGS84,S2,2019,NEON_D06_KONZ_DP3_707000_4331000_reflectance.h5
D06,KING,KING.AOS.reach,WGS84,reach,2019,NEON_D06_KONZ_DP3_707000_4331000_reflectance.h5
D06,KING,KING.AOS.S2,WGS84,S2,2018,NEON_D06_KONZ_DP3_707000_4331000_reflectance.h5
D06,KING,KING.AOS.reach,WGS84,reach,2018,NEON_D06_KONZ_DP3_707000_4331000_reflectance.h5
D05,LIRO,LIRO.AOS.outlet,WGS84,outlet,2017,NEON_D05_LIRO_DP3_290000_5097000_reflectance.h5
D05,LIRO,LIRO.AOS.inlet,WGS84,inlet,2017,NEON_D05_LIRO_DP3_290000_5097000_reflectance.h5
D05,LIRO,LIRO.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D05_LIRO_DP3_290000_5097000_reflectance.h5
D05,LIRO,LIRO.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D05_LIRO_DP3_290000_5097000_reflectance.h5
D05,LIRO,LIRO.AOS.buoy.c2,WGS84,buoy.c2,2017,NEON_D05_LIRO_DP3_290000_5097000_reflectance.h5
D16,MART,MART.AOS.S2,WGS84,S2,2017,NEON_D16_WREF_DP3_583000_5071000_reflectance.h5
