domanID,siteID,aop_site,loctype,flightline,spectraID,sensor_zenith,solar_zenith,clouds
D09,PRPO,WOOD,outl,20170621_183544,PRPO-outl-20170621_183544,4.664628982543945,23.74727784138359,Red (> 50%) cloud cover
D09,PRPO,WOOD,outl,20190730_164923,PRPO-outl-20190730_164923,4.6264424324035645,36.798280933889366,Green (<10%) cloud cover
D09,PRPO,WOOD,buoy,20190730_165932,PRPO-buoy-20190730_165932,8.586602210998535,35.61046704269677,Green (<10%) cloud cover
D09,PRPO,WOOD,inle,20190730_165932,PRPO-inle-20190730_165932,3.739548683166504,35.61046704269677,Green (<10%) cloud cover
D09,PRPO,WOOD,buoy,20200624_153559,PRPO-buoy-20200624_153559,9.11580753326416,42.54511389602676,Green (<10%) cloud cover
D09,PRPO,WOOD,inle,20200624_153559,PRPO-inle-20200624_153559,4.361649036407471,42.54511389602676,Green (<10%) cloud cover
D09,PRPO,WOOD,buoy,20200624_154504,PRPO-buoy-20200624_154504,15.15418529510498,41.09099711956855,Green (<10%) cloud cover
D09,PRPO,WOOD,outl,20200624_154504,PRPO-outl-20200624_154504,4.136529922485352,41.09099711956855,Green (<10%) cloud cover
D03,SUGG,OSBS,buoy,20140507_140657,SUGG-buoy-20140507_140657,7.71418571472168,46.446282562472035,Green (<10%) cloud cover
D03,SUGG,OSBS,outl,20140507_140657,SUGG-outl-20140507_140657,10.103779792785645,46.446282562472035,Green (<10%) cloud cover
D03,SUGG,OSBS,buoy,20140507_154018,SUGG-buoy-20140507_154018,5.045778274536133,26.724552095212516,Green (<10%) cloud cover
D03,SUGG,OSBS,inle,20140507_154018,SUGG-inle-20140507_154018,10.925848960876465,26.724552095212516,Green (<10%) cloud cover
D03,SUGG,OSBS,inle,20140507_154756,SUGG-inle-20140507_154756,13.137755393981934,25.19679890406319,Green (<10%) cloud cover
D03,SUGG,OSBS,outl,20140507_154756,SUGG-outl-20140507_154756,2.404723644256592,25.19679890406319,Green (<10%) cloud cover
D03,SUGG,OSBS,buoy,20140520_145919,SUGG-buoy-20140520_145919,6.981215000152588,33.89614103908431,Yellow (10 - 50%) cloud cover
D03,SUGG,OSBS,outl,20140520_145919,SUGG-outl-20140520_145919,10.38925552368164,33.89614103908431,Yellow (10 - 50%) cloud cover
D03,SUGG,OSBS,inle,20140520_152515,SUGG-inle-20140520_152515,12.750651359558104,28.345318339885377,Yellow (10 - 50%) cloud cover
D03,SUGG,OSBS,outl,20140520_152515,SUGG-outl-20140520_152515,3.6974494457244873,28.345318339885377,Yellow (10 - 50%) cloud cover
D03,SUGG,OSBS,buoy,20140520_153408,SUGG-buoy-20140520_153408,4.000842094421387,26.46360643861854,Yellow (10 - 50%) cloud cover
D03,SUGG,OSBS,inle,20140520_153408,SUGG-inle-20140520_153408,10.23256492614746,26.46360643861854,Yellow (10 - 50%) cloud cover
D03,SUGG,OSBS,buoy,20140520_162436,SUGG-buoy-20140520_162436,6.2374186515808105,16.437067924128296,Red (> 50%) cloud cover
D03,SUGG,OSBS,outl,20140520_162436,SUGG-outl-20140520_162436,9.411876678466797,16.437067924128296,Red (> 50%) cloud cover
D03,SUGG,OSBS,buoy,20170927_163135,SUGG-buoy-20170927_163135,8.0595855712890625,33.0687526586659,Red (> 50%) cloud cover
D03,SUGG,OSBS,outl,20170927_163135,SUGG-outl-20170927_163135,11.277270317077637,33.0687526586659,Red (> 50%) cloud cover
