domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,collectDateDate,timediff,spectra
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,Fe,5e-4,milligramsPerLiter,GOOD,2017-12-05,-284,BARC-outl-20180915_154327
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,UV Absorbance (254 nm),0.0462,NA,GOOD,2017-12-05,-284,BARC-outl-20180915_154327
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,UV Absorbance (280 nm),0.0325,NA,GOOD,2017-12-05,-284,BARC-outl-20180915_154327
D03,BARC,BARC.AOS.buoy.c0,2018-10-01T15:29:00Z,TSS,2,milligramsPerLiter,GOOD,2018-10-01,-11,BARC-buoy-20181012_172548
D03,BARC,BARC.AOS.buoy.c0,2018-10-01T15:29:00Z,TDS,17.53,milligramsPerLiter,GOOD,2018-10-01,-11,BARC-buoy-20181012_172548
D03,BARC,BARC.AOS.buoy.c0,2018-10-01T15:29:00Z,DOC,2.166,milligramsPerLiter,GOOD,2018-10-01,-11,BARC-buoy-20181012_172548
D03,BARC,BARC.AOS.buoy.c0,2018-10-01T15:29:00Z,TOC,2.201,milligramsPerLiter,GOOD,2018-10-01,-11,BARC-buoy-20181012_172548
D03,BARC,BARC.AOS.buoy.c0,2018-10-01T15:29:00Z,Fe,5e-4,milligramsPerLiter,GOOD,2018-10-01,-11,BARC-buoy-20181012_172548
D03,BARC,BARC.AOS.buoy.c0,2018-10-01T15:29:00Z,UV Absorbance (254 nm),0.0345,NA,GOOD,2018-10-01,-11,BARC-buoy-20181012_172548
D03,BARC,BARC.AOS.buoy.c0,2018-10-01T15:29:00Z,UV Absorbance (280 nm),0.0218,NA,GOOD,2018-10-01,-11,BARC-buoy-20181012_172548
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,TSS,2,milligramsPerLiter,GOOD,2017-12-05,-311,BARC-inle-20181012_172548
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,TDS,11.8,milligramsPerLiter,GOOD,2017-12-05,-311,BARC-inle-20181012_172548
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,DOC,2.263,milligramsPerLiter,GOOD,2017-12-05,-311,BARC-inle-20181012_172548
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,TOC,2.143,milligramsPerLiter,GOOD,2017-12-05,-311,BARC-inle-20181012_172548
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,Fe,5e-4,milligramsPerLiter,GOOD,2017-12-05,-311,BARC-inle-20181012_172548
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,UV Absorbance (254 nm),0.0459,NA,GOOD,2017-12-05,-311,BARC-inle-20181012_172548
D03,BARC,BARC.AOS.inlet,2017-12-05T16:14:00Z,UV Absorbance (280 nm),0.0318,NA,GOOD,2017-12-05,-311,BARC-inle-20181012_172548
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,TSS,2,milligramsPerLiter,GOOD,2017-12-05,-311,BARC-outl-20181012_172548
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,TDS,44.4,milligramsPerLiter,GOOD,2017-12-05,-311,BARC-outl-20181012_172548
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,DOC,2.51,milligramsPerLiter,GOOD,2017-12-05,-311,BARC-outl-20181012_172548
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,TOC,2.273,milligramsPerLiter,GOOD,2017-12-05,-311,BARC-outl-20181012_172548
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,Fe,5e-4,milligramsPerLiter,GOOD,2017-12-05,-311,BARC-outl-20181012_172548
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,UV Absorbance (254 nm),0.0462,NA,GOOD,2017-12-05,-311,BARC-outl-20181012_172548
D03,BARC,BARC.AOS.outlet,2017-12-05T16:38:00Z,UV Absorbance (280 nm),0.0325,NA,GOOD,2017-12-05,-311,BARC-outl-20181012_172548
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,TSS,20,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_160715
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,TDS,428.64,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_160715
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,DOC,1.417,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_160715
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,TOC,1.63,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_160715
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,Fe,0.0011,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_160715
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,UV Absorbance (254 nm),0.0267,NA,GOOD,2017-05-03,-3,BLUE-S2-20170506_160715
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,UV Absorbance (280 nm),0.0192,NA,GOOD,2017-05-03,-3,BLUE-S2-20170506_160715
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,TSS,12,milligramsPerLiter,GOOD,2018-10-23,535,BLUE-reac-20170506_160715
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,TDS,392.41,milligramsPerLiter,GOOD,2018-10-23,535,BLUE-reac-20170506_160715
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,DOC,1.794,milligramsPerLiter,GOOD,2018-10-23,535,BLUE-reac-20170506_160715
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,TOC,1.982,milligramsPerLiter,GOOD,2018-10-23,535,BLUE-reac-20170506_160715
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,Fe,5e-4,milligramsPerLiter,GOOD,2018-10-23,535,BLUE-reac-20170506_160715
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,UV Absorbance (254 nm),0.0639,NA,GOOD,2018-10-23,535,BLUE-reac-20170506_160715
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,UV Absorbance (280 nm),0.0483,NA,GOOD,2018-10-23,535,BLUE-reac-20170506_160715
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,TSS,20,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,TDS,428.64,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,DOC,1.417,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,TOC,1.63,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,Fe,0.0011,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,UV Absorbance (254 nm),0.0267,NA,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,UV Absorbance (280 nm),0.0192,NA,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,TSS,12,milligramsPerLiter,GOOD,2018-10-23,535,BLUE-reac-20170506_161227
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,TDS,392.41,milligramsPerLiter,GOOD,2018-10-23,535,BLUE-reac-20170506_161227
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,DOC,1.794,milligramsPerLiter,GOOD,2018-10-23,535,BLUE-reac-20170506_161227
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,TOC,1.982,milligramsPerLiter,GOOD,2018-10-23,535,BLUE-reac-20170506_161227
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,Fe,5e-4,milligramsPerLiter,GOOD,2018-10-23,535,BLUE-reac-20170506_161227
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,UV Absorbance (254 nm),0.0639,NA,GOOD,2018-10-23,535,BLUE-reac-20170506_161227
D11,BLUE,BLUE.AOS.reach,2018-10-23T17:52:00Z,UV Absorbance (280 nm),0.0483,NA,GOOD,2018-10-23,535,BLUE-reac-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,TSS,20,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,TDS,428.64,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,DOC,1.417,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,TOC,1.63,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,Fe,0.0011,milligramsPerLiter,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,UV Absorbance (254 nm),0.0267,NA,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D11,BLUE,BLUE.AOS.S2,2017-05-03T15:19:00Z,UV Absorbance (280 nm),0.0192,NA,GOOD,2017-05-03,-3,BLUE-S2-20170506_161227
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,TSS,24,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_150153
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,TDS,105.28,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_150153
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,DOC,3.135,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_150153
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,TOC,3.193,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_150153
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,Fe,0.0111,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_150153
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,UV Absorbance (254 nm),0.0937,NA,GOOD,2017-05-16,1,BLWA-buoy-20170515_150153
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,UV Absorbance (280 nm),0.0627,NA,GOOD,2017-05-16,1,BLWA-buoy-20170515_150153
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,TSS,24,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_150942
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,TDS,105.28,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_150942
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,DOC,3.135,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_150942
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,TOC,3.193,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_150942
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,Fe,0.0111,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_150942
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,UV Absorbance (254 nm),0.0937,NA,GOOD,2017-05-16,1,BLWA-buoy-20170515_150942
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,UV Absorbance (280 nm),0.0627,NA,GOOD,2017-05-16,1,BLWA-buoy-20170515_150942
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,TSS,24,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_165759
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,TDS,105.28,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_165759
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,DOC,3.135,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_165759
D08,BLWA,BLWA.AOS.buoy.c0,2017-05-16T12:38:00Z,TOC,3.193,milligramsPerLiter,GOOD,2017-05-16,1,BLWA-buoy-20170515_165759
