domanID,siteID,nmdLctn,gdtcDtm,loctype,cellid,cellrow,cellcol,cellx,celly,sensor_zenith,solar_zenith,clouds,flightline,aop_site,crs,flightdate,radfile,gpstime_hrs,rad_flightline
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,8725122,7954,681,308942.5,5120428.5,8.1929349899292,38.81469033139992,Green (<10%) cloud cover,20160902_173948,UNDE,EPSG:32616,2016-09-02,NEON_D05_UNDE_DP1_20160902_L010-1_radiance,17.720094680786133,L010-1
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,7469307,6352,531,309132.5,5120578.5,6.0460710525512695,38.72332832656395,Green (<10%) cloud cover,20160902_174607,UNDE,EPSG:32616,2016-09-02,NEON_D05_UNDE_DP1_20160902_L009-1_radiance,17.821813583374023,L009-1
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,7992479,6797,383,308984.5,5120133.5,12.95050811767578,38.72332832656395,Green (<10%) cloud cover,20160902_174607,UNDE,EPSG:32616,2016-09-02,NEON_D05_UNDE_DP1_20160902_L009-1_radiance,17.819517135620117,L009-1
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,7645517,6502,341,308942.5,5120428.5,16.036888122558594,38.72332832656395,Green (<10%) cloud cover,20160902_174607,UNDE,EPSG:32616,2016-09-02,NEON_D05_UNDE_DP1_20160902_L009-1_radiance,17.82098388671875,L009-1
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,7645517,6502,341,308942.5,5120428.5,16.036888122558594,38.72332832656395,Green (<10%) cloud cover,20160902_174607,UNDE,EPSG:32616,2016-09-02,NEON_D05_UNDE_DP1_20160902_L009-1_radiance,17.82098388671875,L009-1
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,7645517,6502,341,308942.5,5120428.5,16.036888122558594,38.72332832656395,Green (<10%) cloud cover,20160902_174607,UNDE,EPSG:32616,2016-09-02,NEON_D05_UNDE_DP1_20160902_L009-1_radiance,17.82098388671875,L009-1
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,7207957,6650,441,309132.5,5120578.5,5.028635501861572,42.05641354825968,Green (<10%) cloud cover,20170912_174910,UNDE,EPSG:32616,2017-09-12,NEON_D05_UNDE_DP1_20170912_L009-1_radiance,17.900344848632812,L009-1
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,7690189,7095,293,308984.5,5120133.5,12.786673545837402,42.05641354825968,Green (<10%) cloud cover,20170912_174910,UNDE,EPSG:32616,2017-09-12,NEON_D05_UNDE_DP1_20170912_L009-1_radiance,17.902746200561523,L009-1
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,7370367,6800,251,308942.5,5120428.5,15.453609466552734,42.05641354825968,Green (<10%) cloud cover,20170912_174910,UNDE,EPSG:32616,2017-09-12,NEON_D05_UNDE_DP1_20170912_L009-1_radiance,17.901081085205078,L009-1
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,7370367,6800,251,308942.5,5120428.5,15.453609466552734,42.05641354825968,Green (<10%) cloud cover,20170912_174910,UNDE,EPSG:32616,2017-09-12,NEON_D05_UNDE_DP1_20170912_L009-1_radiance,17.901081085205078,L009-1
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,7370367,6800,251,308942.5,5120428.5,15.453609466552734,42.05641354825968,Green (<10%) cloud cover,20170912_174910,UNDE,EPSG:32616,2017-09-12,NEON_D05_UNDE_DP1_20170912_L009-1_radiance,17.901081085205078,L009-1
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,7405673,7000,731,308984.5,5120133.5,11.022210121154783,42.06605159096676,Green (<10%) cloud cover,20170912_175640,UNDE,EPSG:32616,2017-09-12,NEON_D05_UNDE_DP1_20170912_L010-1_radiance,18.028409957885746,L010-1
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,7093521,6705,689,308942.5,5120428.5,8.450342178344727,42.06605159096676,Green (<10%) cloud cover,20170912_175640,UNDE,EPSG:32616,2017-09-12,NEON_D05_UNDE_DP1_20170912_L010-1_radiance,18.029970169067383,L010-1
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,7093521,6705,689,308942.5,5120428.5,8.450342178344727,42.06605159096676,Green (<10%) cloud cover,20170912_175640,UNDE,EPSG:32616,2017-09-12,NEON_D05_UNDE_DP1_20170912_L010-1_radiance,18.029970169067383,L010-1
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,7093521,6705,689,308942.5,5120428.5,8.450342178344727,42.06605159096676,Green (<10%) cloud cover,20170912_175640,UNDE,EPSG:32616,2017-09-12,NEON_D05_UNDE_DP1_20170912_L010-1_radiance,18.029970169067383,L010-1
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,9481772,7843,794,308984.5,5120133.5,11.91374969482422,37.06977823085638,Green (<10%) cloud cover,20190608_153245,UNDE,EPSG:32616,2019-06-08,NEON_D05_UNDE_DP1_20190608_L010-1_radiance,15.57331371307373,L010-1
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,9125075,7548,752,308942.5,5120428.5,8.843751907348633,37.06977823085638,Green (<10%) cloud cover,20190608_153245,UNDE,EPSG:32616,2019-06-08,NEON_D05_UNDE_DP1_20190608_L010-1_radiance,15.571746826171877,L010-1
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,9125075,7548,752,308942.5,5120428.5,8.843751907348633,37.06977823085638,Green (<10%) cloud cover,20190608_153245,UNDE,EPSG:32616,2019-06-08,NEON_D05_UNDE_DP1_20190608_L010-1_radiance,15.571746826171877,L010-1
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,9125075,7548,752,308942.5,5120428.5,8.843751907348633,37.06977823085638,Green (<10%) cloud cover,20190608_153245,UNDE,EPSG:32616,2019-06-08,NEON_D05_UNDE_DP1_20190608_L010-1_radiance,15.571746826171877,L010-1
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,8138221,7399,421,309132.5,5120578.5,6.674016952514648,32.787356500094546,Green (<10%) cloud cover,20200811_171525,UNDE,EPSG:32616,2020-08-11,NEON_D05_UNDE_DP1_20200811_L009-1_radiance,17.26677703857422,L009-1
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,8627573,7844,273,308984.5,5120133.5,13.675207138061523,32.787356500094546,Green (<10%) cloud cover,20200811_171525,UNDE,EPSG:32616,2020-08-11,NEON_D05_UNDE_DP1_20200811_L009-1_radiance,17.269493103027344,L009-1
D03,FLNT,FLNT.AOS.buoy.c0,WGS84,buoy.c0,18138101,15995,905,744107.5,3452888.5,10.93479061126709,47.65830670318081,Green (<10%) cloud cover,20170917_144900,JERC,EPSG:32616,2017-09-17,NEON_D03_JERC_DP1_20170917_L007-1_radiance,14.883594512939451,L007-1
