domanID,siteID,nmdLctn,gdtcDtm,loctype,cellid,cellrow,cellcol,cellx,celly,radfile,aop_site,crs,gpstime_hrs
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,7370367,6800,251,308942.5,5120428.5,NEON_D05_UNDE_DP1_20170912_L009-1_radiance,UNDE,EPSG:32616,17.901081085205078
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,7370367,6800,251,308942.5,5120428.5,NEON_D05_UNDE_DP1_20170912_L009-1_radiance,UNDE,EPSG:32616,17.901081085205078
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,6935011,6555,879,309132.5,5120578.5,NEON_D05_UNDE_DP1_20170912_L010-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,7405673,7000,731,308984.5,5120133.5,NEON_D05_UNDE_DP1_20170912_L010-1_radiance,UNDE,EPSG:32616,18.028409957885746
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,7093521,6705,689,308942.5,5120428.5,NEON_D05_UNDE_DP1_20170912_L010-1_radiance,UNDE,EPSG:32616,18.029970169067383
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,7093521,6705,689,308942.5,5120428.5,NEON_D05_UNDE_DP1_20170912_L010-1_radiance,UNDE,EPSG:32616,18.029970169067383
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,7093521,6705,689,308942.5,5120428.5,NEON_D05_UNDE_DP1_20170912_L010-1_radiance,UNDE,EPSG:32616,18.029970169067383
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,6878773,438,10881,309132.5,5120578.5,NEON_D05_UNDE_DP1_20190608_L001-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,13872245,883,10733,308984.5,5120133.5,NEON_D05_UNDE_DP1_20190608_L001-1_radiance,UNDE,EPSG:32616,17.329978942871094
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,9235983,588,10691,308942.5,5120428.5,NEON_D05_UNDE_DP1_20190608_L001-1_radiance,UNDE,EPSG:32616,17.329492568969727
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,9235983,588,10691,308942.5,5120428.5,NEON_D05_UNDE_DP1_20190608_L001-1_radiance,UNDE,EPSG:32616,17.329492568969727
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,9235983,588,10691,308942.5,5120428.5,NEON_D05_UNDE_DP1_20190608_L001-1_radiance,UNDE,EPSG:32616,17.329492568969727
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,10126147,7626,147,309132.5,5120578.5,NEON_D05_UNDE_DP1_20190608_L008-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,9097760,7075,596,309132.5,5120578.5,NEON_D05_UNDE_DP1_20190608_L009-1_radiance,UNDE,EPSG:32616,15.7051362991333
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,9669882,7520,448,308984.5,5120133.5,NEON_D05_UNDE_DP1_20190608_L009-1_radiance,UNDE,EPSG:32616,15.702919960021973
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,9290470,7225,406,308942.5,5120428.5,NEON_D05_UNDE_DP1_20190608_L009-1_radiance,UNDE,EPSG:32616,15.704336166381836
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,9290470,7225,406,308942.5,5120428.5,NEON_D05_UNDE_DP1_20190608_L009-1_radiance,UNDE,EPSG:32616,15.704336166381836
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,9290470,7225,406,308942.5,5120428.5,NEON_D05_UNDE_DP1_20190608_L009-1_radiance,UNDE,EPSG:32616,15.704336166381836
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,8943915,7398,942,309132.5,5120578.5,NEON_D05_UNDE_DP1_20190608_L010-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,9481772,7843,794,308984.5,5120133.5,NEON_D05_UNDE_DP1_20190608_L010-1_radiance,UNDE,EPSG:32616,15.57331371307373
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,9125075,7548,752,308942.5,5120428.5,NEON_D05_UNDE_DP1_20190608_L010-1_radiance,UNDE,EPSG:32616,15.571746826171877
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,9125075,7548,752,308942.5,5120428.5,NEON_D05_UNDE_DP1_20190608_L010-1_radiance,UNDE,EPSG:32616,15.571746826171877
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,9125075,7548,752,308942.5,5120428.5,NEON_D05_UNDE_DP1_20190608_L010-1_radiance,UNDE,EPSG:32616,15.571746826171877
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,5114859,366,9604,309132.5,5120578.5,NEON_D05_UNDE_DP1_20200806_L001-1_radiance,UNDE,EPSG:32616,-9999
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,11338926,811,9456,308984.5,5120133.5,NEON_D05_UNDE_DP1_20200806_L001-1_radiance,UNDE,EPSG:32616,15.535307884216309
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,7212719,516,9414,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200806_L001-1_radiance,UNDE,EPSG:32616,15.535438537597656
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,7212719,516,9414,308942.5,5120428.5,NEON_D05_UNDE_DP1_20200806_L001-1_radiance,UNDE,EPSG:32616,15.535438537597656
